"""element""","""isotopes""","""atomicmass""","""standard""","""availablespikes""",,,,,,,,,
"""S""",32,31.97207069,0.9493,0.9989,0.1084,0.0561,0.9009,,,,,,
,33,32.9714585,0.0076,0.0002,0.8836,0.0012,0.0095,,,,,,
,34,33.96786683,0.0429,0.0009,0.008,0.9427,0.0545,,,,,,
,36,35.96708088,0.0002,0.0001,0.0001,0.0001,0.0351,,,,,,
"""Ca""",40,39.9625912,0.96941,0.9999,0.0488,0.1013,0.0104,0.6074,0.021,,,,
,42,41.9586183,0.00647,0.00004,0.9449,0.0078,0.00036,0.0076,0.00024,,,,
,43,42.9587668,0.00135,0.00001,0.0007,0.8393,0.00026,0.0019,0.0001,,,,
,44,43.9554811,0.02086,0.00006,0.0055,0.0506,0.9889,0.0569,0.00072,,,,
,46,45.9536827,0.00004,0.00001,0.0001,0.00001,0.00001,0.3089,0.0001,,,,
,48,47.952533,0.00187,0.00001,0.0001,0.0009,0.00001,0.0165,0.978,,,,
"""Ti""",46,45.9526295,0.0825,0.9684,0.00347,0.0004,0.0022,0.0169,,,,,
,47,46.9517638,0.0744,0.005,0.9455,0.0004,0.0022,0.0129,,,,,
,48,47.9479471,0.7372,0.0233,0.0474,0.9981,0.0271,0.1251,,,,,
,49,48.9478708,0.0541,0.0016,0.0019,0.0007,0.9625,0.0141,,,,,
,50,49.9447921,0.0518,0.0016,0.00175,0.0004,0.006,0.831,,,,,
"""Cr""",50,49.9460496,0.04345,0.9765,0.0001,0.00027,0.0006,,,,,,
,52,51.9405119,0.83789,0.021,0.999,0.01665,0.0226,,,,,,
,53,52.9406538,0.09501,0.00137,0.0009,0.9823,0.009,,,,,,
,54,53.9388849,0.02365,0.00108,0.0001,0.00077,0.9678,,,,,,
"""Fe""",54,53.9396148,0.05845,0.9837,0.0007,0.001,0.0039,,,,,,
,56,55.9349421,0.91754,0.0155,0.9998,0.0697,0.1378,,,,,,
,57,56.9353987,0.02119,0.0007,0.0004,0.9288,0.0125,,,,,,
,58,57.9332805,0.00282,0.00008,0.0001,0.0005,0.8458,,,,,,
"""Ni""",58,57.9353479,0.680769,0.9993,0.0017,0.0013,0.0187,0.00875,,,,,
,60,59.9307906,0.262231,0.0007,0.9983,0.0019,0.0132,0.00568,,,,,
,61,60.9310604,0.011399,0.00001,0.0003,0.9944,0.0019,0.0005,,,,,
,62,61.9283488,0.036345,0.00003,0.0003,0.0005,0.9646,0.00429,,,,,
,64,63.9279696,0.009256,0.00003,0.0003,0.0019,0.0016,0.9808,,,,,
"""Zn""",64,63.9291466,0.4863,0.9968,0.0035,0.01113,0.0012,0.0444,,,,,
,66,65.9260368,0.279,0.002,0.9929,0.0195,0.0011,0.0275,,,,,
,67,66.9271309,0.041,0.0003,0.001,0.946,0.0005,0.0051,,,,,
,68,67.9248476,0.1875,0.0009,0.0026,0.0228,0.9971,0.0369,,,,,
,70,69.925325,0.0062,0.0001,0.0005,0.00054,0.0001,0.8861,,,,,
"""Ge""",70,69.9242504,0.2084,0.9845,0.0029,0.0086,0.0026,0.013,,,,,
,72,71.9220762,0.2754,0.0057,0.9871,0.0209,0.0049,0.0201,,,,,
,73,72.9234594,0.0773,0.0023,0.0037,0.945,0.002,0.0063,,,,,
,74,73.9211782,0.3628,0.0061,0.0059,0.0224,0.989,0.0324,,,,,
,76,75.9214027,0.0761,0.0014,0.0005,0.0031,0.0015,0.9282,,,,,
"""Se""",74,73.9224766,0.0089,0.7771,0.0013,0.0006,0.0001,0.0002,0.0009,,,,
,76,75.9192141,0.0937,0.0455,0.9705,0.0066,0.001,0.0008,0.0017,,,,
,77,76.9199146,0.0763,0.0206,0.0085,0.9438,0.0019,0.0006,0.0015,,,,
,78,77.9173095,0.2377,0.0497,0.0086,0.0302,0.988,0.002,0.0051,,,,
,80,79.9165218,0.4961,0.0785,0.0094,0.0161,0.0077,0.9957,0.0165,,,,
,82,81.9167,0.0873,0.0286,0.0017,0.0027,0.0013,0.0009,0.9743,,,,
"""Kr""",78,77.920386,0.0035,,,,,,,,,,
,80,79.916378,0.0228,,,,,,,,,,
,82,81.9134846,0.1158,,,,,,,,,,
,83,82.914136,0.1149,,,,,,,,,,
,84,83.911507,0.57,,,,,,,,,,
,86,85.9106103,0.173,,,,,,,,,,
"""Sr""",84,83.913425,0.00557077219721559,0.8224,0.0008,0.0001,0.000021,,,,,,
,86,85.9092624,0.0986003103589202,0.0371,0.9702,0.0082,0.000318,,,,,,
,87,86.9088793,0.0700306732318023,0.0156,0.0078,0.9126,0.001087,,,,,,
,88,87.9056143,0.825798244212062,0.1249,0.0212,0.0791,0.998574,,,,,,
"""Zr""",90,89.9047037,0.5145,0.9849,0.0324,0.0097,0.0071,0.0154,,,,,
,91,90.905645,0.1122,0.0062,0.9459,0.0051,0.0021,0.004,,,,,
,92,91.9050401,0.1715,0.0042,0.0163,0.9806,0.0039,0.0073,,,,,
,94,93.9063158,0.1738,0.0037,0.0046,0.0041,0.9857,0.017,,,,,
,96,95.908276,0.028,0.00102,0.0008,0.0005,0.0012,0.9563,,,,,
"""Mo""",92,91.90681,0.1484,0.9827,0.0071,0.0026,0.0018,0.00216,0.001,0.0056,,,
,94,93.9050876,0.0925,0.0046,0.9203,0.0063,0.002,0.0019,0.0007,0.0021,,,
,95,94.9058415,0.1592,0.0037,0.0518,0.9647,0.0093,0.0047,0.0016,0.0032,,,
,96,95.9046789,0.1668,0.0026,0.0083,0.0145,0.9676,0.0125,0.0023,0.0037,,,
,97,96.906021,0.0955,0.0013,0.004,0.0046,0.0096,0.9419,0.0033,0.0028,,,
,98,97.9054078,0.2413,0.0027,0.0067,0.0063,0.008,0.0337,0.9878,0.0099,,,
,100,99.907477,0.0963,0.0025,0.0019,0.0015,0.0017,0.00307,0.0033,0.9727,,,
"""Ru""",96,95.907598,0.0554,0.0056,0.0012,0.001,0.0007,0.0005,0.0005,,,,
,98,97.905287,0.0187,0.8934,0.0012,0.001,0.0007,0.0005,0.0005,,,,
,99,98.9059393,0.1276,0.0361,0.9769,0.0055,0.0015,0.0007,0.0009,,,,
